value,anomaly_score,label
-0.215,0.0,1
-0.24,0.0,1
-0.24,0.0,1
-0.225,0.0,1
-0.225,0.0,1
-0.2,0.0,1
-0.23,0.0,1
-0.28,0.0,1
-0.365,0.0,1
-0.41,0.0,1
-0.455,0.0,1
-0.5,0.0,1
-0.55,0.0,1
-0.555,0.0,1
-0.545,0.0,1
-0.55,0.0,1
-0.575,0.0,1
-0.585,0.0,1
-0.58,0.0,1
-0.56,0.0,1
-0.58,0.0,1
-0.62,0.0,1
-0.635,0.0,1
-0.57,0.0,1
-0.405,0.0,1
-0.17,0.0,1
0.13,0.0,1
0.39,0.0,1
0.695,0.0,1
1.08,0.0,1
1.615,0.0,1
2.15,0.0,1
2.505,0.0,1
2.51,0.0,1
2.345,0.0,1
2.08,0.0,1
1.67,0.0,1
1.18,0.0,1
0.695,0.0,1
0.28,0.0,1
-0.09,0.0,1
-0.42,0.0,1
-0.695,0.0,1
-0.855,0.0,1
-0.935,0.0,1
-0.925,0.0,1
-0.885,0.0,1
-0.835,0.0,1
-0.79,0.0,1
-0.77,0.0,1
-0.765,0.0,1
-0.76,0.0,1
-0.75,0.0,1
-0.75,0.0,1
-0.725,0.0,1
-0.725,0.0,1
-0.72,0.0,1
-0.705,0.0,1
-0.7,0.0,1
-0.69,0.0,1
-0.675,0.0,1
-0.68,0.0,1
-0.685,0.0,1
-0.68,0.0,1
-0.685,0.0,1
-0.705,0.0,1
-0.67,0.0,1
-0.66,0.0,1
-0.65,0.0,1
-0.66,0.0,1
-0.64,0.0,1
-0.675,0.0,1
-0.68,0.0,1
-0.655,0.0,1
-0.645,0.0,1
-0.67,0.0,1
-0.7,0.0,1
-0.705,0.0,1
-0.705,0.0,1
-0.7,0.0,1
-0.73,0.0,1
-0.75,0.0,1
-0.755,0.0,1
-0.7,0.0,1
-0.735,0.0,1
-0.73,0.0,1
-0.755,0.0,1
-0.765,0.0,1
-0.72,0.0,1
-0.655,0.0,1
-0.615,0.0,1
-0.57,0.0,1
-0.57,0.0,1
-0.5,0.0,1
-0.46,0.0,1
-0.46,0.0,1
-0.45,0.0,1
-0.435,0.0,1
-0.405,0.0,1
-0.385,0.0,1
-0.385,0.0,1
-0.395,0.0,1
-0.38,0.0,1
-0.365,0.0,1
-0.39,0.0,1
-0.395,0.0,1
-0.42,0.0,1
-0.415,0.0,1
-0.41,0.0,1
-0.41,0.0,1
-0.41,0.0,1
-0.4,0.0,1
-0.4,0.0,1
-0.385,0.0,1
-0.415,0.0,1
-0.42,0.0,1
-0.43,0.0,1
-0.465,0.0,1
-0.445,0.0,1
-0.435,0.0,1
-0.43,0.0,1
-0.455,0.0,1
-0.46,0.0,1
-0.44,0.0,1
-0.43,0.0,1
-0.44,0.0,1
-0.44,0.0,1
-0.445,0.0,1
-0.455,0.0,1
-0.45,0.0,1
-0.42,0.0,1
-0.435,0.0,1
-0.455,0.0,1
-0.44,0.0,1
-0.43,0.0,1
-0.43,0.0,1
-0.455,0.0,1
-0.43,0.0,1
-0.425,0.0,1
-0.385,0.0,1
-0.38,0.0,1
-0.375,0.0,1
-0.355,0.0,1
-0.285,0.0,1
-0.26,0.0,1
-0.265,0.0,1
-0.24,0.0,1
-0.225,0.0,1
-0.175,0.0,1
-0.145,0.0,1
-0.15,0.0,1
-0.13,0.0,1
-0.095,0.0,1
-0.065,0.0,1
-0.055,0.0,1
-0.07,0.0,1
-0.1,0.0,1
-0.095,0.0,1
-0.08,0.0,1
-0.08,0.0,1
-0.105,0.0,1
-0.16,0.0,1
-0.225,0.0,1
-0.26,0.0,1
-0.34,0.0,1
-0.39,0.0,1
-0.42,0.0,1
-0.415,0.0,1
-0.4,0.0,1
-0.45,0.0,1
-0.47,0.0,1
-0.465,0.0,1
-0.46,0.0,1
-0.45,0.0,1
-0.46,0.0,1
-0.5,0.0,1
-0.515,0.0,1
-0.43,0.0,1
-0.255,0.0,1
-0.015,0.0,1
0.22,0.0,1
0.45,0.0,1
0.755,0.0,1
1.125,0.0,1
1.665,0.0,1
2.185,0.0,1
2.44,0.0,1
2.335,0.0,1
2.125,0.0,1
1.87,0.0,1
1.47,0.0,1
0.98,0.0,1
0.555,0.0,1
0.19,0.0,1
-0.115,0.0,1
-0.42,0.0,1
-0.68,0.0,1
-0.82,0.0,1
-0.865,0.0,1
-0.85,0.0,1
-0.795,0.0,1
-0.755,0.0,1
-0.72,0.0,1
-0.695,0.0,1
-0.695,0.0,1
-0.675,0.0,1
-0.675,0.0,1
-0.675,0.0,1
-0.67,0.0,1
-0.67,0.0,1
-0.67,0.0,1
-0.69,0.0,1
-0.68,0.0,1
-0.67,0.0,1
-0.66,0.0,1
-0.645,0.0,1
-0.67,0.0,1
-0.67,0.0,1
-0.68,0.0,1
-0.69,0.0,1
-0.68,0.0,1
-0.665,0.0,1
-0.66,0.0,1
-0.68,0.0,1
-0.675,0.0,1
-0.68,0.0,1
-0.695,0.0,1
-0.71,0.0,1
-0.705,0.0,1
-0.72,0.0,1
-0.73,0.0,1
-0.725,0.0,1
-0.74,0.0,1
-0.765,0.0,1
-0.775,0.0,1
-0.795,0.0,1
-0.82,0.0,1
-0.835,0.0,1
-0.825,0.0,1
-0.835,0.0,1
-0.79,0.0,1
-0.8,0.0,1
-0.755,0.0,1
