value,anomaly_score,label
4.995,0.0,1
4.995,0.0,1
4.995,0.0,1
4.995,0.0,1
4.995,0.0,1
4.995,0.0,1
4.995,0.0,1
4.995,0.0,1
4.985,0.0,1
4.995,0.0,1
4.995,0.0,1
5.0,0.0,1
5.025,0.0,1
5.035,0.0,1
5.015,0.0,1
4.95,0.0,1
4.895,0.0,1
4.865,0.0,1
4.84,0.0,1
4.825,0.0,1
4.78,0.0,1
4.725,0.0,1
4.71,0.0,1
4.715,0.0,1
4.74,0.0,1
4.75,0.0,1
4.73,0.0,1
4.71,0.0,1
4.695,0.0,1
4.7,0.0,1
4.715,0.0,1
4.75,0.0,1
4.745,0.0,1
4.73,0.0,1
4.71,0.0,1
4.715,0.0,1
4.725,0.0,1
4.745,0.0,1
4.73,0.0,1
4.725,0.0,1
4.725,0.0,1
4.725,0.0,1
4.735,0.0,1
4.74,0.0,1
4.735,0.0,1
4.72,0.0,1
4.715,0.0,1
4.715,0.0,1
4.715,0.0,1
4.705,0.0,1
4.685,0.0,1
4.695,0.0,1
4.695,0.0,1
4.73,0.0,1
4.745,0.0,1
4.755,0.0,1
4.75,0.0,1
4.755,0.0,1
4.74,0.0,1
4.715,0.0,1
4.715,0.0,1
4.73,0.0,1
4.755,0.0,1
4.79,0.0,1
4.8,0.0,1
4.825,0.0,1
4.85,0.0,1
4.84,0.0,1
4.78,0.0,1
4.68,0.0,1
4.61,0.0,1
4.6,0.0,1
4.61,0.0,1
4.61,0.0,1
4.585,0.0,1
4.58,0.0,1
4.535,0.0,1
4.495,0.0,1
4.48,0.0,1
4.47,0.0,1
4.435,0.0,1
4.39,0.0,1
4.34,0.0,1
4.285,0.0,1
4.235,0.0,1
4.205,0.0,1
4.18,0.0,1
4.145,0.0,1
4.14,0.0,1
4.18,0.0,1
4.205,0.0,1
4.225,0.0,1
4.23,0.0,1
4.29,0.0,1
4.36,0.0,1
4.42,0.0,1
4.495,0.0,1
4.54,0.0,1
4.575,0.0,1
4.615,0.0,1
4.635,0.0,1
4.675,0.0,1
4.725,0.0,1
4.75,0.0,1
4.75,0.0,1
4.76,0.0,1
4.76,0.0,1
4.765,0.0,1
4.795,0.0,1
4.805,0.0,1
4.8,0.0,1
4.775,0.0,1
4.775,0.0,1
4.79,0.0,1
4.82,0.0,1
4.835,0.0,1
4.82,0.0,1
4.83,0.0,1
4.825,0.0,1
4.82,0.0,1
4.83,0.0,1
4.84,0.0,1
4.835,0.0,1
4.8,0.0,1
4.8,0.0,1
4.81,0.0,1
4.825,0.0,1
4.835,0.0,1
4.845,0.0,1
4.835,0.0,1
4.83,0.0,1
4.825,0.0,1
4.835,0.0,1
4.835,0.0,1
4.83,0.0,1
4.835,0.0,1
4.845,0.0,1
4.84,0.0,1
4.85,0.0,1
4.86,0.0,1
4.85,0.0,1
4.85,0.0,1
4.845,0.0,1
4.86,0.0,1
4.88,0.0,1
4.895,0.0,1
4.88,0.0,1
4.855,0.0,1
4.84,0.0,1
4.845,0.0,1
4.88,0.0,1
4.9,0.0,1
4.9,0.0,1
4.895,0.0,1
4.88,0.0,1
4.9,0.0,1
4.92,0.0,1
4.93,0.0,1
4.935,0.0,1
4.9,0.0,1
4.875,0.0,1
4.895,0.0,1
4.925,0.0,1
4.935,0.0,1
4.955,0.0,1
