value,anomaly_score,label
-0.078,0.0,1
-0.081,0.0,1
-0.088,0.0,1
-0.115,0.0,1
-0.159,0.0,1
-0.206,0.0,1
-0.206,0.0,1
-0.169,0.0,1
-0.122,0.0,1
-0.098,0.0,1
-0.098,0.0,1
-0.105,0.0,1
-0.095,0.0,1
-0.071,0.0,1
-0.054,0.0,1
-0.061,0.0,1
-0.081,0.0,1
-0.098,0.0,1
-0.108,0.0,1
-0.111,0.0,1
-0.095,0.0,1
-0.074,0.0,1
-0.057,0.0,1
-0.068,0.0,1
-0.088,0.0,1
-0.118,0.0,1
-0.132,0.0,1
-0.122,0.0,1
-0.091,0.0,1
-0.074,0.0,1
-0.078,0.0,1
-0.088,0.0,1
-0.071,0.0,1
-0.057,0.0,1
-0.081,0.0,1
-0.115,0.0,1
-0.122,0.0,1
-0.122,0.0,1
-0.122,0.0,1
-0.122,0.0,1
-0.135,0.0,1
-0.149,0.0,1
-0.155,0.0,1
-0.145,0.0,1
-0.135,0.0,1
-0.125,0.0,1
-0.101,0.0,1
-0.071,0.0,1
-0.057,0.0,1
-0.061,0.0,1
-0.071,0.0,1
-0.084,0.0,1
-0.088,0.0,1
-0.084,0.0,1
-0.068,0.0,1
-0.051,0.0,1
-0.061,0.0,1
-0.091,0.0,1
-0.108,0.0,1
-0.101,0.0,1
-0.084,0.0,1
-0.095,0.0,1
-0.139,0.0,1
-0.166,0.0,1
-0.152,0.0,1
-0.125,0.0,1
-0.105,0.0,1
-0.105,0.0,1
-0.098,0.0,1
-0.095,0.0,1
-0.098,0.0,1
-0.108,0.0,1
-0.115,0.0,1
-0.128,0.0,1
-0.132,0.0,1
-0.115,0.0,1
-0.088,0.0,1
-0.081,0.0,1
-0.084,0.0,1
-0.088,0.0,1
-0.101,0.0,1
-0.122,0.0,1
-0.142,0.0,1
-0.159,0.0,1
-0.142,0.0,1
-0.118,0.0,1
-0.095,0.0,1
-0.088,0.0,1
-0.084,0.0,1
-0.105,0.0,1
-0.125,0.0,1
-0.118,0.0,1
-0.084,0.0,1
-0.068,0.0,1
-0.064,0.0,1
-0.068,0.0,1
-0.074,0.0,1
-0.078,0.0,1
-0.098,0.0,1
-0.118,0.0,1
-0.122,0.0,1
-0.122,0.0,1
-0.128,0.0,1
-0.139,0.0,1
-0.152,0.0,1
-0.149,0.0,1
-0.128,0.0,1
-0.108,0.0,1
-0.088,0.0,1
-0.088,0.0,1
-0.098,0.0,1
-0.115,0.0,1
-0.091,0.0,1
-0.071,0.0,1
-0.057,0.0,1
-0.057,0.0,1
-0.064,0.0,1
-0.095,0.0,1
-0.122,0.0,1
-0.128,0.0,1
-0.111,0.0,1
-0.095,0.0,1
-0.091,0.0,1
-0.108,0.0,1
-0.122,0.0,1
-0.118,0.0,1
-0.111,0.0,1
-0.111,0.0,1
-0.111,0.0,1
-0.108,0.0,1
-0.084,0.0,1
-0.074,0.0,1
-0.084,0.0,1
-0.105,0.0,1
-0.122,0.0,1
-0.149,0.0,1
-0.176,0.0,1
-0.162,0.0,1
-0.125,0.0,1
-0.108,0.0,1
-0.122,0.0,1
-0.125,0.0,1
-0.125,0.0,1
-0.118,0.0,1
-0.101,0.0,1
-0.081,0.0,1
-0.071,0.0,1
-0.068,0.0,1
-0.071,0.0,1
-0.088,0.0,1
